StockCode,Description,TotalUnitsSold,TotalRevenue,ProductPopularityScore
84279P,CHERRY BLOSSOM  DECORATIVE FLASK,364,1516.9599999999998,552173.44
85015,SET OF 12  VINTAGE POSTCARD SET,2182,1719.8400000000006,3752690.8800000013
21249,WOODLAND  HEIGHT CHART STICKERS,724,2160.000000000001,1563840.0000000007
21002,ROSE DU SUD DRAWSTRING BAG,125,428.6600000000002,53582.50000000002
84987,SET OF 36 TEATIME PAPER DOILIES,3038,4452.320000000005,1.3526148160000015E7
20671,BLUE TEATIME PRINT BOWL,10,12.5,125.0
22690,DOORMAT HOME SWEET HOME BLUE,1617,9911.299999999996,1.6026572099999992E7
22708,WRAP DOLLY GIRL,2775,1149.5,3189862.5
90184A,AMBER CHUNKY BEAD BRACELET W STRAP,13,117.73000000000003,1530.4900000000005
21285,RETROSPOT CANDLE  MEDIUM,341,398.28000000000003,135813.48
22236,CAKE STAND 3 TIER MAGIC GARDEN,263,3115.6499999999996,819415.95
47593A,CAROUSEL PONIES BABY BIB,33,14.369999999999996,474.20999999999987
35637C,PINK STRING CURTAIN WITH POLE,30,100.86,3025.8
37423,WHITE WITH BLACK CATS PLATE,78,33.18,2588.04
84881,,-11,0.0,-0.0
21248,,-18,0.0,-0.0
21894,,-40,0.0,-0.0
84899F,,-5,0.0,-0.0
21259,,-51,0.0,-0.0
10002,INFLATABLE POLITICAL GLOBE,860,759.8900000000002,653505.4000000001
37444A,YELLOW BREAKFAST CUP AND SAUCER,55,67.13000000000001,3692.1500000000005
22197,SMALL POPCORN HOLDER,20116,17018.01000000005,3.42334289160001E8
22423,REGENCY CAKESTAND 3 TIER,13033,164762.1899999997,2.1473456222699962E9
20973,12 PENCIL SMALL TUBE WOODLAND,4502,3213.5199999999986,1.4467267039999994E7
47559B,TEA TIME OVEN GLOVE,2050,2551.150000000001,5229857.500000002
84923,PINK BUTTERFLY HANDBAG W BOBBLES,162,671.6199999999997,108802.43999999994
90013B,BLACK VINTAGE EARRINGS,36,149.41000000000003,5378.760000000001
22806,SET OF 6 T-LIGHTS WEDDING CAKE,260,677.04,176030.4
84596e,SMALL LICORICE DES PINK BOWL,10,25.099999999999998,250.99999999999997
20702,PINK PADDED MOBILE,135,577.79,78001.65
85129B,BEADED CRYSTAL HEART GREEN SMALL,119,168.59,20062.21
22683,FRENCH BLUE METAL DOOR SIGN 8,651,856.4899999999999,557574.9899999999
20731,POSY CANDY BAG,92,109.96,10116.32
