features,label,prediction
"[7.0,27.0,48.0]",5,23.073573765681296
"[12.0,2.0,2.0]",60,15.398695725060175
"[1.0,60.0,12.0]",24,21.811450246938083
"[24.0,1.0,7.0]",13,17.01888363718672
"[14.0,2.0,1.0]",132,15.469714837076944
"[14.0,1.0,1.0]",12,15.361600243399817
"[1.0,2.0,2.0]",6,14.356996692116422
"[120.0,180.0,6.0]",6,45.34420675347422
"[2.0,3.0,1.0]",24,14.44143048572452
"[24.0,2.0,3.0]",22,16.65347538224455
"[22.0,24.0,2.0]",24,18.72421590681495
"[12.0,24.0,22.0]",4,20.14483102905347
"[16.0,10.0,20.0]",1,18.773264941607216
"[8.0,1.0,1.0]",27,14.793400770885041
"[16.0,14.0,22.0]",20,19.442484740625375
"[4.0,10.0,10.0]",10,16.453058875029424
"[70.0,1.0,30.0]",5,24.097835972694284
"[2.0,22.0,4.0]",24,16.850749902054424
"[69.0,43.0,16.0]",29,26.88661902488033
"[20.0,6.0,48.0]",3,22.034266155576958
"[3.0,20.0,6.0]",10,16.96598205109561
"[10.0,3.0,20.0]",80,17.448263313352545
"[1.0,15.0,40.0]",43,20.260953471802395
"[61.0,43.0,1.0]",50,24.3533090458716
"[41.0,6.0,11.0]",20,19.642877959650185
"[28.0,31.0,2.0]",69,20.049217535069623
"[40.0,42.0,46.0]",26,27.583628345359834
"[6.0,12.0,68.0]",4,23.72476919153506
"[9.0,37.0,4.0]",31,19.135368191811914
"[1.0,10.0,21.0]",5,17.4711469724751
"[1.0,10.0,10.0]",2,16.168959138772035
"[10.0,1.0,2.0]",10,15.101181307211457
"[100.0,2.0,1.0]",6,23.6139072764554
"[10.0,10.0,10.0]",2,17.0212583475442
"[10.0,10.0,40.0]",10,20.57267971218892
"[21.0,2.0,20.0]",10,18.381847752619173
"[10.0,3.0,17.0]",7,17.093121176888072
"[10.0,10.0,11.0]",30,17.139639059699025
"[10.0,28.0,30.0]",1,21.334935276828983
"[32.0,1.0,18.0]",1,19.07867076757615
"[16.0,10.0,1.0]",1,16.52403141066556
"[2.0,1.0,16.0]",1,16.000911980692624
"[15.0,87.0,32.0]",16,28.42395728851816
"[15.0,31.0,16.0]",33,20.475448648121812
"[33.0,15.0,31.0]",15,22.225924249154453
"[9.0,11.0,17.0]",2,17.8633380142193
"[5.0,2.0,9.0]",10,15.564461325543373
"[32.0,16.0,16.0]",16,20.463628248423422
"[5.0,16.0,32.0]",7,19.800822016584114
"[2.0,48.0,2.0]",3,19.424967913350102
"[16.0,16.0,4.0]",18,17.5278611091928
"[17.0,18.0,16.0]",3,19.25935875449074
"[4.0,16.0,1.0]",1,16.03632002769878
"[1.0,1.0,1.0]",6,14.130501386284468
"[21.0,60.0,4.0]",10,22.758402791415413
"[40.0,10.0,6.0]",26,19.388732861498784
"[1.0,9.0,1.0]",30,14.995418135701492
"[1.0,1.0,12.0]",12,15.432689219987532
"[48.0,1.0,1.0]",1,18.58139725431688
"[2.0,1.0,1.0]",13,14.225201298370266
"[4.0,6.0,1.0]",2,14.955174090927496
"[2.0,4.0,6.0]",11,15.141448640175769
"[41.0,1.0,1.0]",3,17.918497869716308
"[12.0,6.0,6.0]",1,16.304676948387986
